dataset,model,emotion,mae,n_pairs,result_file
LAIGAI,gemini-2.5-flash,amusement,1.47,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,anger,0.71,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,aroused,2.19,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,attachment love,1.1,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,awe,1.18,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,calm,0.9,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,craving,0.87,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,disgust,0.61,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,excitement,1.1,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,fear,0.7,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,joy,1.14,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,motivated to approach,1.24,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,motivated to avoid,0.93,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,negative,0.69,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,neutral,1.11,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,nurturant love,1.26,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,positive,0.88,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,sadness,0.61,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemma-vl-3-27b,amusement,0.91,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,anger,0.57,480,LAIGAI-reg-gemma-vl-3-27b.csv
