dataset,model,emotion,pearson_r,n_pairs,result_file
LAIGAI,gemini-2.5-flash,amusement,0.74,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,anger,0.91,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,aroused,0.41,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,attachment love,0.89,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,awe,0.69,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,calm,0.85,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,craving,0.88,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,disgust,0.91,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,excitement,0.72,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,fear,0.96,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,joy,0.95,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,motivated to approach,0.87,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,motivated to avoid,0.94,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,negative,0.96,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,neutral,0.7,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,nurturant love,0.86,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,positive,0.94,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemini-2.5-flash,sadness,0.95,465,LAIGAI-reg-gemini-2.5-flash.csv
LAIGAI,gemma-vl-3-27b,amusement,0.79,480,LAIGAI-reg-gemma-vl-3-27b.csv
