"image","predicted_emotion"
"1019","fear"
"1022","fear"
"1030","fear"
"1040","fear"
"1050","fear"
"1051","fear"
"1052","fear"
"1070","fear"
"1080","fear"
"1090","fear"
"1101","fear"
"1110","fear"
"1111","disgust"
"1112","fear"
"1113","fear"
"1120","fear"
"1121","surprise"
"1200","fear"
"1201","fear"
"1220","fear"
"1230","fear"
"1240","fear"
"1270","disgust"
"1274","disgust"
"1275","disgust"
"1280","disgust"
"1300","fear"
"1301","fear"
"1302","fear"
"1303","happiness"
"1310","disgust"
"1313","fear"
"1321","fear"
"1340","happiness"
"1390","fear"
"1440","happiness"
"1450","surprise"
"1460","happiness"
"1463","happiness"
"1500","happiness"
"1510","happiness"
"1540","happiness"
"1560","fear"
"1590","happiness"
"1600","happiness"
"1601","happiness"
"1602","happiness"
"1603","happiness"
"1604","happiness"
"1610","happiness"
"1616","disgust"
"1620","happiness"
"1640","fear"
"1650","fear"
"1660","fear"
"1670","happiness"
"1710","happiness"
"1720","fear"
"1721","happiness"
"1722","happiness"
"1740","surprise"
"1750","happiness"
"1810","fear"
"1811","happiness"
"1812","happiness"
"1850","happiness"
"1900","happiness"
"1910","surprise"
"1920","happiness"
"1930","fear"
"1931","fear"
"1942","happiness"
"1945","disgust"
"1999","happiness"
"2000","fear"
"2010","happiness"
"2020","happiness"
"2030","happiness"
"2040","happiness"
"2050","happiness"
"2053","sadness"
"2057","happiness"
"2058","happiness"
"2070","surprise"
"2080","happiness"
"2091","happiness"
"2092","surprise"
"2100","fear"
"2110","anger"
"2120","fear"
"2130","anger"
"2141","sadness"
"2150","happiness"
"2160","happiness"
"2165","happiness"
"2170","sadness"
"2190","sadness"
"2200","fear"
"2205","sadness"
"2206","fear"
"2208","happiness"
"2209","happiness"
"2210","fear"
"2214","anger"
"2215","fear"
"2216","happiness"
"2220","fear"
"2221","anger"
"2230","fear"
"2240","happiness"
"2250","sadness"
"2260","happiness"
"2270","sadness"
"2271","sadness"
"2276","sadness"
"2280","sadness"
"2303","happiness"
"2304","happiness"
"2310","happiness"
"2311","happiness"
"2312","sadness"
"2320","sadness"
"2331","happiness"
"2340","happiness"
"2341","happiness"
"2344","happiness"
"2345","happiness"
"2351","disgust"
"2352","happiness"
"2360","sadness"
"2370","happiness"
"2372","anger"
"2381","sadness"
"2383","sadness"
"2385","fear"
"2389","happiness"
"2391","happiness"
"2410","sadness"
"2440","sadness"
"2480","sadness"
"2485","sadness"
"2487","happiness"
"2490","sadness"
"2495","sadness"
"2500","sadness"
"2501","happiness"
"2510","happiness"
"2514","surprise"
"2515","happiness"
"2516","happiness"
"2518","sadness"
"2520","sadness"
"2530","happiness"
"2540","happiness"
"2550","happiness"
"2560","sadness"
"2570","sadness"
"2575","sadness"
"2580","sadness"
"2590","sadness"
"2600","disgust"
"2616","fear"
"2620","sadness"
"2630","fear"
"2650","happiness"
"2655","happiness"
"2660","happiness"
"2661","sadness"
"2681","fear"
"2682","fear"
"2690","fear"
"2691","anger"
"2692","fear"
"2700","sadness"
"2702","surprise"
"2710","sadness"
"2720","disgust"
"2722","sadness"
"2730","sadness"
"2749","sadness"
"2750","sadness"
"2751","fear"
"2752","sadness"
"2753","sadness"
"2791","happiness"
"2800","sadness"
"2810","fear"
"2830","sadness"
"2840","sadness"
"2850","happiness"
"2870","happiness"
"2880","fear"
"2890","surprise"
"2900","sadness"
"3000","disgust"
"3010","disgust"
"3015","disgust"
"3022","fear"
"3030","disgust"
"3051","disgust"
"3053","disgust"
"3060","disgust"
"3061","sadness"
"3062","disgust"
"3063","disgust"
"3064","disgust"
"3071","disgust"
"3080","disgust"
"3100","disgust"
"3102","disgust"
"3110","disgust"
"3120","disgust"
"3130","disgust"
"3140","disgust"
"3150","disgust"
"3160","disgust"
"3168","disgust"
"3170","disgust"
"3180","sadness"
"3181","sadness"
"3190","disgust"
"3210","disgust"
"3220","sadness"
"3230","sadness"
"3250","disgust"
"3261","disgust"
"3266","disgust"
"3280","sadness"
"3300","sadness"
"3301","disgust"
"3350","sadness"
"3400","disgust"
"3500","fear"
"3530","fear"
"3550","fear"
"4000","disgust"
"4001","surprise"
"4002","surprise"
"4003","surprise"
"4004","happiness"
"4005","sadness"
"4100","happiness"
"4150","surprise"
"4180","surprise"
"4210","surprise"
"4220","happiness"
"4230","disgust"
"4232","sadness"
"4233","disgust"
"4235","happiness"
"4240","disgust"
"4250","happiness"
"4274","happiness"
"4275","happiness"
"4279","happiness"
"4290","disgust"
"4300","sadness"
"4302","disgust"
"4310","disgust"
"4320","surprise"
"4460","surprise"
"4470","surprise"
"4490","surprise"
"4500","happiness"
"4510","happiness"
"4520","surprise"
"4530","disgust"
"4531","happiness"
"4532","happiness"
"4533","happiness"
"4534","surprise"
"4535","happiness"
"4536","happiness"
"4550","disgust"
"4561","happiness"
"4571","happiness"
"4572","happiness"
"4598","sadness"
"4599","happiness"
"4601","happiness"
"4603","happiness"
"4605","surprise"
"4606","happiness"
