"image","predicted_emotion"
"Faces_364_v","BLOCKED"
"People_237_h","disgust"
"People_220_h","BLOCKED"
"Faces_365_v","disgust"
"People_226_h","sadness"
"People_216_h","BLOCKED"
"Animals_076_v","anger"
"Faces_149_v","sadness"
"Faces_143_v","disgust"
"People_218_v","BLOCKED"
"Objects_283_h","fear"
"People_211_v","BLOCKED"
"Animals_030_h","fear"
"Animals_020_h","fear"
"Animals_073_h","fear"
"Animals_041_h","disgust"
"Animals_006_v","fear"
"People_040_h","sadness"
"People_241_h","disgust"
"People_222_h","BLOCKED"
"People_017_h","fear"
"People_003_h","sadness"
"Faces_366_h","BLOCKED"
"Animals_007_h","fear"
"Animals_004_v","fear"
"Landscapes_002_h","sadness"
"Animals_085_h","fear"
"Animals_058_h","disgust"
"Animals_074_h","sadness"
"People_209_v","BLOCKED"
"People_214_h","disgust"
"People_127_h","anger"
"People_077_v","disgust"
"Animals_039_h","BLOCKED"
"People_202_h","BLOCKED"
"Faces_172_h","sadness"
"People_016_h","sadness"
"People_002_v","sadness"
"Faces_273_h","fear"
"People_204_v","disgust"
"Animals_061_h","anger"
"People_198_h","BLOCKED"
"Animals_144_h","fear"
"Objects_126_h","disgust"
"Animals_022_h","fear"
"Objects_285_h","sadness"
"People_140_h","sadness"
"Animals_055_h","fear"
"People_217_h","disgust"
"Animals_037_h","disgust"
"People_225_h","sadness"
"People_201_v","sadness"
"People_084_h","fear"
"Objects_148_h","fear"
"Faces_368_h","sadness"
"Animals_111_h","fear"
"People_228_h","BLOCKED"
"People_139_h","fear"
"People_039_v","sadness"
"People_240_h","disgust"
"Faces_174_h","disgust"
"People_036_h","surprise"
"Landscapes_005_h","sadness"
"People_075_v","anger"
"Faces_034_h","sadness"
"People_239_h","disgust"
"Faces_271_h","fear"
"People_074_v","fear"
"People_147_h","sadness"
"Faces_283_h","sadness"
"Faces_021_h","sadness"
"Objects_145_h","sadness"
"Faces_270_h","happiness"
"Animals_087_h","fear"
"Animals_002_v","anger"
"Faces_011_h","sadness"
"Faces_041_h","sadness"
"Faces_363_v","sadness"
"Animals_008_v","disgust"
"Animals_077_h","sadness"
"Faces_028_h","sadness"
"Faces_302_h","sadness"
"People_223_h","disgust"
"Faces_294_h","sadness"
"Objects_154_h","disgust"
"Animals_003_h","fear"
"Faces_152_h","sadness"
"Faces_031_v","sadness"
"People_122_h","sadness"
"People_128_h","sadness"
"People_034_h","sadness"
"Objects_202_h","fear"
"Objects_121_v","disgust"
"Animals_043_h","disgust"
"People_019_v","disgust"
"Animals_062_h","BLOCKED"
"Animals_060_h","disgust"
"Animals_078_h","disgust"
"Faces_032_h","sadness"
"People_212_h","sadness"
"Animals_009_v","anger"
"Faces_279_h","sadness"
"Faces_158_h","sadness"
"Objects_022_h","disgust"
"Faces_007_h","sadness"
"People_133_h","sadness"
"People_001_h","sadness"
"People_231_h","sadness"
"Animals_221_h","disgust"
"Faces_019_h","sadness"
"People_213_v","disgust"
"People_233_h","BLOCKED"
"Animals_025_h","sadness"
"Animals_045_h","disgust"
"Animals_047_h","BLOCKED"
"Objects_006_h","disgust"
"Landscapes_026_h","disgust"
"People_033_h","sadness"
"Animals_067_h","sadness"
"Objects_021_v","disgust"
"Faces_369_v","sadness"
"Faces_151_v","sadness"
"Animals_027_h","disgust"
"People_210_h","sadness"
"Objects_013_h","disgust"
"Objects_125_h","disgust"
"Animals_001_h","sadness"
"Faces_036_h","sadness"
"Faces_157_h","sadness"
"Animals_032_h","disgust"
"Landscapes_070_h","sadness"
"People_236_v","sadness"
"Animals_029_v","sadness"
"Faces_288_h","sadness"
"People_247_v","disgust"
"Animals_154_h","sadness"
"People_015_h","sadness"
"Animals_065_h","disgust"
"Faces_301_h","sadness"
"Faces_176_h","sadness"
"Objects_264_v","happiness"
"Landscapes_008_h","happiness"
"Faces_175_v","sadness"
"People_180_h","happiness"
"Faces_050_h","happiness"
"Animals_010_h","sadness"
"Animals_038_h","sadness"
"Objects_122_h","disgust"
"People_058_h","disgust"
"Objects_128_h","disgust"
"Faces_164_h","sadness"
"People_249_h","happiness"
"Faces_017_h","sadness"
"Faces_171_v","sadness"
"People_087_h","disgust"
"Objects_023_v","disgust"
"Objects_053_h","disgust"
"Animals_018_h","disgust"
"People_188_h","happiness"
"People_183_h","happiness"
"Objects_244_h","disgust"
"Objects_110_v","disgust"
"Animals_013_h","sadness"
"Objects_088_h","disgust"
"People_059_v","disgust"
"Animals_019_h","sadness"
"Animals_033_h","disgust"
"Faces_006_h","sadness"
"Objects_011_h","disgust"
"Objects_179_h","disgust"
"People_024_v","disgust"
"Faces_033_h","sadness"
"People_025_v","disgust"
"Faces_296_h","anger"
"Landscapes_007_h","disgust"
"Landscapes_060_h","disgust"
"Animals_135_v","surprise"
"Animals_182_h","happiness"
"People_230_h","disgust"
"People_121_h","sadness"
"People_062_v","disgust"
"Objects_109_h","disgust"
"Objects_007_h","disgust"
"Animals_171_h","disgust"
"People_143_h","sadness"
"Animals_179_h","happiness"
"Objects_156_v","disgust"
"Objects_207_h","disgust"
"Animals_121_h","happiness"
"Animals_089_v","surprise"
"Objects_045_h","disgust"
"Landscapes_025_h","disgust"
"Objects_009_h","disgust"
"Objects_328_h","disgust"
"People_057_h","disgust"
"Animals_086_v","disgust"
"Faces_012_v","sadness"
"Objects_018_h","disgust"
"Objects_216_h","disgust"
"Objects_019_h","disgust"
"Animals_053_h","sadness"
"Faces_166_h","sadness"
"Faces_037_h","sadness"
"Objects_119_h","fear"
"People_179_h","happiness"
"Objects_206_h","disgust"
"Landscapes_043_h","sadness"
"People_030_h","happiness"
"People_035_h","sadness"
"Landscapes_028_h","disgust"
"Objects_186_v","disgust"
"Faces_155_h","sadness"
"Landscapes_102_h","surprise"
"Faces_275_h","disgust"
"Objects_307_v","disgust"
"Objects_060_h","disgust"
"Faces_156_h","disgust"
"Animals_197_h","surprise"
"Faces_224_h","surprise"
"Objects_255_v","happiness"
"Objects_015_v","disgust"
"People_164_h","disgust"
"Animals_122_h","happiness"
"Animals_203_h","sadness"
"Objects_223_h","none"
"Animals_220_h","happiness"
"Landscapes_115_v","sadness"
"Animals_196_h","happiness"
"Landscapes_020_h","fear"
"People_060_v","disgust"
"Faces_190_h","sadness"
"Animals_136_h","happiness"
"People_080_h","disgust"
"Faces_113_h","happiness"
"Objects_274_h","surprise"
"Faces_054_v","sadness"
"Objects_129_h","surprise"
"Faces_001_h","happiness"
"Landscapes_139_h","disgust"
"Animals_149_v","happiness"
"People_148_h","happiness"
"Faces_047_h","surprise"
"Objects_134_h","sadness"
"Faces_266_h","disgust"
"Objects_281_h","disgust"
"Objects_311_h","disgust"
"Objects_136_h","sadness"
"Landscapes_055_h","sadness"
"Objects_222_h","disgust"
"Faces_135_h","happiness"
"Faces_196_h","sadness"
"Faces_216_h","sadness"
"People_097_h","sadness"
"Animals_127_h","disgust"
"Animals_170_h","happiness"
"Objects_115_h","disgust"
"People_165_v","surprise"
"Landscapes_021_h","happiness"
"Faces_062_v","sadness"
"Animals_165_h","happiness"
"Faces_264_h","disgust"
"Objects_106_v","disgust"
"Objects_194_h","disgust"
"Landscapes_130_h","sadness"
"Faces_240_h","happiness"
"People_172_v","happiness"
"Landscapes_117_h","happiness"
"People_096_h","happiness"
"Faces_342_h","happiness"
"Animals_200_v","disgust"
"Animals_178_v","happiness"
"Animals_205_h","happiness"
"Faces_263_v","happiness"
"Objects_282_h","disgust"
"Animals_104_h","surprise"
"Faces_218_h","anger"
"People_026_h","happiness"
"Landscapes_178_h","happiness"
"Faces_129_h","happiness"
"Landscapes_165_h","happiness"
"Animals_208_h","happiness"
"Landscapes_149_h","surprise"
"Animals_216_v","disgust"
"Animals_195_h","happiness"
"Landscapes_154_h","happiness"
"Landscapes_140_v","happiness"
"Objects_124_h","disgust"
"Faces_352_h","happiness"
"Objects_010_h","disgust"
"Objects_211_h","disgust"
"Faces_192_h","anger"
"Objects_093_h","disgust"
"Objects_056_h","happiness"
"Objects_178_v","sadness"
"Animals_213_h","happiness"
"Animals_137_h","happiness"
"Faces_306_v","disgust"
"Landscapes_057_h","sadness"
"Objects_278_h","happiness"
"Animals_173_h","happiness"
"Landscapes_100_h","surprise"
"Landscapes_180_h","happiness"
"Animals_212_v","surprise"
"Animals_185_h","happiness"
"Faces_120_h","happiness"
"Animals_206_h","happiness"
