dataset,model,emotion,accuracy,precision,recall,f1_score,num_samples,blocked_filtered
NAPS,qwen-vl-2.5-7b,anger,0.1429,0.1429,0.1429,0.1429,7,False
NAPS,qwen-vl-2.5-7b,disgust,0.8118,0.6699,0.8118,0.734,85,False
NAPS,qwen-vl-2.5-7b,fear,0.2174,0.8333,0.2174,0.3448,23,False
NAPS,qwen-vl-2.5-7b,happiness,0.8582,0.9163,0.8582,0.8863,268,False
NAPS,qwen-vl-2.5-7b,sadness,0.8627,0.7273,0.8627,0.7892,102,False
NAPS,qwen-vl-2.5-7b,surprise,0.0,0.0,0.0,0.0,19,False
NAPS,kimi-vl-a3b-16b,anger,0.1429,0.5,0.1429,0.2222,7,False
NAPS,kimi-vl-a3b-16b,disgust,0.8824,0.6198,0.8824,0.7282,85,False
NAPS,kimi-vl-a3b-16b,fear,0.7391,0.68,0.7391,0.7083,23,False
NAPS,kimi-vl-a3b-16b,happiness,0.7201,0.9747,0.7201,0.8283,268,False
NAPS,kimi-vl-a3b-16b,sadness,0.7353,0.7895,0.7353,0.7614,102,False
NAPS,kimi-vl-a3b-16b,surprise,0.2632,0.0926,0.2632,0.137,19,False
NAPS,llava-vl-vicuna-7b,anger,0.0,0.0,0.0,0.0,7,False
NAPS,llava-vl-vicuna-7b,disgust,0.9765,0.3097,0.9765,0.4703,85,False
NAPS,llava-vl-vicuna-7b,fear,0.1304,0.75,0.1304,0.2222,23,False
NAPS,llava-vl-vicuna-7b,happiness,0.4179,0.9825,0.4179,0.5864,268,False
NAPS,llava-vl-vicuna-7b,sadness,0.3431,0.7609,0.3431,0.473,102,False
NAPS,llava-vl-vicuna-7b,surprise,0.1579,0.0492,0.1579,0.075,19,False
NAPS,intern-vl-3.5-38b,anger,0.0,0.0,0.0,0.0,7,False
NAPS,intern-vl-3.5-38b,disgust,0.7765,0.8462,0.7765,0.8098,85,False
NAPS,intern-vl-3.5-38b,fear,0.913,0.3333,0.913,0.4884,23,False
NAPS,intern-vl-3.5-38b,happiness,0.8246,0.9693,0.8246,0.8911,268,False
NAPS,intern-vl-3.5-38b,sadness,0.8137,0.7345,0.8137,0.7721,102,False
NAPS,intern-vl-3.5-38b,surprise,0.2105,0.2222,0.2105,0.2162,19,False
NAPS,gemini-2.5-flash,anger,0.2857,0.2222,0.2857,0.25,7,True
NAPS,gemini-2.5-flash,disgust,0.9718,0.5656,0.9718,0.715,71,True
NAPS,gemini-2.5-flash,fear,0.8261,0.76,0.8261,0.7917,23,True
NAPS,gemini-2.5-flash,happiness,0.7052,0.9895,0.7052,0.8235,268,True
NAPS,gemini-2.5-flash,sadness,0.8119,0.7736,0.8119,0.7923,101,True
NAPS,gemini-2.5-flash,surprise,0.0526,0.0455,0.0526,0.0488,19,True
NAPS,gemma-vl-3-27b,anger,0.0,0.0,0.0,0.0,7,False
NAPS,gemma-vl-3-27b,disgust,0.9647,0.713,0.9647,0.82,85,False
NAPS,gemma-vl-3-27b,fear,0.8261,0.6552,0.8261,0.7308,23,False
NAPS,gemma-vl-3-27b,happiness,0.6418,0.9942,0.6418,0.78,268,False
NAPS,gemma-vl-3-27b,sadness,0.8725,0.6357,0.8725,0.7355,102,False
NAPS,gemma-vl-3-27b,surprise,0.2105,0.0889,0.2105,0.125,19,False
NAPS,gpt-4.1,anger,0.0,0.0,0.0,0.0,7,True
NAPS,gpt-4.1,disgust,0.9294,0.7383,0.9294,0.8229,85,True
NAPS,gpt-4.1,fear,0.9565,0.5,0.9565,0.6567,23,True
NAPS,gpt-4.1,happiness,0.7724,0.9857,0.7724,0.8661,268,True
NAPS,gpt-4.1,sadness,0.8039,0.7736,0.8039,0.7885,102,True
NAPS,gpt-4.1,surprise,0.1579,0.1111,0.1579,0.1304,19,True
NAPS,qwen-vl-2.5-72b,anger,0.1429,0.25,0.1429,0.1818,7,False
NAPS,qwen-vl-2.5-72b,disgust,0.8706,0.6916,0.8706,0.7708,85,False
NAPS,qwen-vl-2.5-72b,fear,0.6522,0.7895,0.6522,0.7143,23,False
NAPS,qwen-vl-2.5-72b,happiness,0.8172,0.944,0.8172,0.876,268,False
NAPS,qwen-vl-2.5-72b,sadness,0.8824,0.7826,0.8824,0.8295,102,False
NAPS,qwen-vl-2.5-72b,surprise,0.1579,0.1304,0.1579,0.1429,19,False
NAPS,intern-vl-3.5-8b,anger,0.1429,0.3333,0.1429,0.2,7,False
NAPS,intern-vl-3.5-8b,disgust,0.4824,0.9318,0.4824,0.6357,85,False
NAPS,intern-vl-3.5-8b,fear,0.7826,0.75,0.7826,0.766,23,False
NAPS,intern-vl-3.5-8b,happiness,0.8284,0.9289,0.8284,0.8757,268,False
NAPS,intern-vl-3.5-8b,sadness,0.951,0.5511,0.951,0.6978,102,False
NAPS,intern-vl-3.5-8b,surprise,0.1579,0.2727,0.1579,0.2,19,False
NAPS,llava-vl-mistral-7b,anger,0.1429,0.3333,0.1429,0.2,7,False
NAPS,llava-vl-mistral-7b,disgust,0.3882,0.9429,0.3882,0.55,85,False
NAPS,llava-vl-mistral-7b,fear,0.3913,0.1875,0.3913,0.2535,23,False
NAPS,llava-vl-mistral-7b,happiness,0.653,0.9615,0.653,0.7778,268,False
NAPS,llava-vl-mistral-7b,sadness,0.8431,0.6825,0.8431,0.7544,102,False
NAPS,llava-vl-mistral-7b,surprise,0.5263,0.0935,0.5263,0.1587,19,False
NAPS,glm-vl-4.1-9b,anger,0.4286,0.2143,0.4286,0.2857,7,False
NAPS,glm-vl-4.1-9b,disgust,0.8941,0.5241,0.8941,0.6609,85,False
NAPS,glm-vl-4.1-9b,fear,0.6087,0.3043,0.6087,0.4058,23,False
NAPS,glm-vl-4.1-9b,happiness,0.7649,0.9535,0.7649,0.8489,268,False
NAPS,glm-vl-4.1-9b,sadness,0.5686,0.7632,0.5686,0.6517,102,False
NAPS,glm-vl-4.1-9b,surprise,0.0,0.0,0.0,0.0,19,False
